title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount
Trending Videos ( Random ) - Payasam Enga Da,YNGGb3H_HYo,854,180,5,18,0
"Most romantic & trending video ||Full HD video trending on FB ,tweeter, Insta...",mk9zkf8CpsQ,208,5,0,1,0
"Pinoy Funniest Video 2017,   Pinoy Viral Videos , Pinoy  Vines Videos 2017 Compilation",bN3TnGnKBcA,189284,204,39,23,0
Best Hilarious Videos - Try Not to Laugh or Grin - Clean Funny Videos - Funny Trending Videos ,Fk3SAYDCVM4,500126,974,206,28,0
Top 10 Globally Trending YouTube Videos Of 2017,aJb0jiezvYw,620,9,1,2,0
Trending videos in Kenya - Nairobi Phone Robbery.,G1vMC8MDwfk,953,3,1,2,0
Trending Kerala Girl - Today Viral Video,nFxHRKhqdns,1588,14,2,3,0
Wild Animal ATTACKING Trending videos compilations 2017 fail videos,HW9S3RbCw00,18691,21,6,2,0
Pinoy Trending Videos  Filipino Laughtrip Compilation  Filipino Vines  Stupid and Funny People,p9deyy1Dey8,37679,100,23,1,0
Priya Prakash Varrier Song | Valentine Day Special | Oru Adaar Love Official Teaser,RskiwRBnLYo,46303,492,30,51,0
[Hindi - hindii] How to Get Trending Topic For Youtube Videos || Make a Viral Video - 2017,MAFd0rptqCo,14675,614,103,122,0
Funny Videos Of The Week - Try Not To Laugh! It's Trending Now!,45eIrrSt2o8,49893,76,13,6,0
The Top 5 FAIL ARMY Videos of All Time | What's Trending Original,gnCuD-c-lRI,17097,142,23,24,0
WhatsApp Trending Videos - Baby Crying,O3JSmd_rKIw,3477,17,0,1,0
Youtube - Trending Videos,HGjCqo1L6eY,127969,1567,44,39,0
TOP TRENDING MAKEUP VIDEOS Feb 2018,vdpXIUwgnJQ,3305,82,9,8,0
TRENDING!! PAUL SALAS SCANDAL VIDEO!! ,1ao9oHg53os,536049,175,125,16,0
Trending Video: Talented Teenager Be like,OP8qmT7Cg7o,59213,573,12,29,0
How To Get Your Video TRENDING On Youtube's Trending Page,29MAn14ORms,125447,2121,185,257,0
Most Funny Trending Videos On Facebook,NDjxS02lFik,3568,26,3,4,0
Today Trending Videos And News | Sai Pallavi | Prabhas | Anushka | Telugu Full Screen,R_trd4Sze_c,83082,189,50,4,0
title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount
The Voice Kids | TRENDING Blind Auditions,3PUdh_yo-V8,12039378,47992,4046,3117,0
My 1st Video Hit TRENDING on Youtube!,J4UuuBu1gOY,125710,5807,219,517,0
Best Trending Viral Videos of the Week || Sling Blade Style,uZ2NVtOL3Q4,555305,4254,177,282,0
Eto Yung Maganda Na May Talent Pa [?][?],ObFfCZgbO-0,101652,1722,19,82,0
"Ralo ""Trending Freestyle"" (Moneybagg Yo Diss) (WSHH Exclusive - Official Music Video)",Fto307pFXww,360899,6467,796,1017,0
"TRENDING! Priya Prakash Varrier Height, Weight, Biography Etc?? #Priya Prakash Videos #Priya",We2qdSuxk9k,368,4,2,0,0
Trending Whatsapp Funny Video # 64 | Funny Videos Compilation 2015,cdNc8jBtwuk,17761,5,5,0,0
Best Trending Videos of the Month January 2015 || JukinVideo,xjnvkQt9__w,937088,5173,329,206,0
Actress Trisha Personal Tattoo Pics Leaked || Telugu Trending Videos,_eRVwxFiCQk,38306,16,8,0,0
"Trending Videos of the Week - Wednesday, November 12-19th",bvyutQp212k,319553,290,65,24,0
TOP TRENDING MAKEUP VIDEOS ON INSTAGRAM  | BEST MAKEUP TUTORIALS | #51,dLLdObXv7UY,11650,223,8,15,0
Funny Fails Videos Try To Not Laugh Challenge Funny Vines Instagram Viral Video Its Trending,jbm_Y48By0s,25497,173,9,6,0
Vijayakanth version Troll - Trending Whatsapp Video | Kerala Girl Priya and Prakash | Oru Adaar Love,AzJjeTb_T_I,1760,15,1,0,0
Stupid and Funny People - Filipino Vines - Pinoy Trending Videos - Try Not to Laugh or Grin ,41XtK5ZdQLk,29155,104,13,1,0
Crush Of the Year |Priya Prakash|Kerala| Top Trending Instagram video| best scene for Valentine's,UfMXTUMy7cs,2942,39,1,0,0
How To Make Video Viral | Video Editing And Trending | Trending Videos,-HyQTtjb5Fw,9786,281,12,26,0
How To Make Trending Video On YouTube In Make Viral Video Grow Channel Fast,pYBms9Ah3Q8,20401,0,0,361,0
Watch the top trending videos of the week in 1 minute,-QtAHRZ0mFE,1671,2,2,0,0
Banana Sundae: BananaKada spoofs the trending video about a girl and her helmet,sy28eeE4dD8,83,4,0,1,0
Filipino Laughtrip Compilation  Pinoy Trending Videos  Filipino Vines  Stupid and Funny People,9ySzuwx1S0s,4550,16,4,0,0
Trending videos on the net,S-SjuvO32A8,1075,6,1,0,0
YOUTUBE TRENDING PAGE,qDA34A5JRYY,1853324,182661,3793,10946,0
#1 Trending Cute Love whatsapp Status Video - Valentines Day 2018 Special Video,J4AiZTiBV2w,2074,16,0,1,0
How to Trending Your video on YouTube | How to Get YouTube VERIFIED BADGE | TIPS IN HINDI,80Bsng8zkL4,8608,81,146,31,0
title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount
MOST TRENDING VIDEOS 2017,ncB7M7pNVjU,619,1,0,0,0
How To Find Top Trending Videos with vidIQ,o-Uo1at-6gU,3938,107,6,47,0
New whatsapp status 2018 || Trending videos,uwA489m1cwc,21,0,0,0,0
Most Trending Videos || Angor Story a Rich Man || SRY TV,1uDNZ8X-ljg,52,1,0,0,0
Priya Prakash Varrier is 2018's first viral sensation / Trending Dubs Videos,vUjDUEkY-XM,640,19,5,0,0
Trending l Viral Videos l Manikya Malaraya Poovi l Watsapp l Youtube l Facebook l in India 2018,P-pFiwwaWsM,93,37,0,0,0
Video me scrolling tex kaise likhte hai | Trending Videos,7z7HsvtvpQU,27,1,0,0,0
Watch the top trending videos of the week in under 1 minute,nB1MS19mDP4,21711,16,3,3,0
